student_id,first_name,last_name,age,email,phone_number,address,city,state,course
1,Beltran,Moulsdale,21,bmoulsdale0@infoseek.co.jp,538-605-8279,34 Nobel Junction,Mjamaoué,,Medicine
2,Briny,Vince,21,bvince1@infoseek.co.jp,966-805-0384,52 Logan Junction,Wangkung,,Medicine
3,Tobie,Everley,24,teverley2@example.com,885-302-3524,522 Dovetail Way,Íquira,,Science
4,Griselda,Rulten,21,grulten3@nhs.uk,507-562-3123,12253 Debs Crossing,Mathba,,Business
5,Lilian,O'Concannon,25,loconcannon4@paypal.com,236-154-1851,78360 Texas Court,Xincun,,Arts
6,Jewelle,Plumstead,18,jplumstead5@nba.com,100-122-1204,0 Harbort Street,Jieyang,,Business
7,Darlene,Ellgood,24,dellgood6@disqus.com,498-161-8702,6 Green Parkway,Toulon,Provence-Alpes-Côte d'Azur,Science
8,Lawton,Paylor,25,lpaylor7@over-blog.com,565-693-4912,1966 Tennessee Point,Xinquan,,Arts
9,Starlene,Lowton,20,slowton8@hhs.gov,830-979-7423,3 Lerdahl Court,Merefa,,Medicine
10,Chandler,Ellerington,22,cellerington9@amazon.co.jp,130-314-6588,26460 Schurz Pass,Bereeda,,Science
11,Seline,Silby,19,ssilbya@samsung.com,442-809-4791,43982 Hintze Way,Hexi,,Medicine
12,Boothe,Sollam,24,bsollamb@microsoft.com,426-184-5171,00 Novick Lane,Ręczno,,Engineering
13,Jerrie,Thams,24,jthamsc@buzzfeed.com,779-300-4269,9 Dorton Alley,Ketapang,,Science
14,Allister,Labden,19,alabdend@arstechnica.com,449-216-7358,9 Jenna Junction,Xiaoqi,,Arts
15,Stephen,Cloy,19,scloye@qq.com,573-288-9238,9492 Nova Circle,Bang Rak,,Arts
16,Ward,Haking,22,whakingf@google.nl,516-297-8442,0260 Farwell Crossing,Sanying,,Engineering
17,Felipe,Deverose,24,fdeveroseg@oaic.gov.au,209-316-3568,42764 Gale Way,Zhongyuanlu,,Business
18,Norrie,Clutton,19,ncluttonh@baidu.com,431-681-8500,5 Oriole Park,Nantian,,Arts
19,Griz,Bartoleyn,25,gbartoleyni@nih.gov,217-260-7459,81017 Burning Wood Circle,Bent Jbaïl,,Business
20,Ulrikaumeko,Calendar,19,ucalendarj@nifty.com,418-115-7289,86138 Porter Street,Abbottābād,,Science
21,Reina,Proske,22,rproskek@surveymonkey.com,664-877-8799,10 Farmco Junction,Skorogoszcz,,Arts
22,Melli,Blaksland,25,mblakslandl@blogger.com,246-710-0086,8153 Golden Leaf Lane,Ibotirama,,Arts
23,Sylvia,Huntingford,24,shuntingfordm@tuttocitta.it,664-643-9271,6 Lighthouse Bay Circle,Ropa,,Science
24,Tessi,Pallatina,21,tpallatinan@foxnews.com,714-805-1238,64 Farmco Hill,Kanoni,,Business
25,Emelen,Scamaden,24,escamadeno@ning.com,618-554-3356,174 Bluejay Plaza,Dayr as Sūdān,,Engineering
26,Rosana,Elfitt,19,relfittp@so-net.ne.jp,121-227-2980,15063 Texas Place,Huangshi,,Medicine
27,Teodor,Ville,20,tvilleq@bbb.org,282-211-8283,9 Jana Lane,Srebrenik,,Engineering
28,Bartel,Dungate,20,bdungater@springer.com,506-802-3813,3518 Ruskin Crossing,San Juan,,Engineering
29,Darryl,Paten,20,dpatens@ted.com,769-592-7641,63673 Mosinee Parkway,Saint-Denis,Île-de-France,Science
30,Rhetta,Troak,21,rtroakt@ibm.com,191-258-9777,079 Nevada Street,Cirahab,,Arts
31,Berty,Speak,21,bspeaku@rambler.ru,750-832-7904,97 Westridge Way,Gyangkar,,Science
32,Leeland,Pinkerton,24,lpinkertonv@squidoo.com,316-576-1600,7299 West Street,Tojal,Porto,Arts
33,Orsa,Cullity,18,ocullityw@webmd.com,530-847-4765,45711 Barnett Pass,Si That,,Business
34,Chico,Eul,23,ceulx@macromedia.com,203-905-9309,7635 Farragut Parkway,Rovira,,Science
35,Murdock,Alabaster,21,malabastery@sciencedirect.com,236-469-2988,59607 Independence Road,Seversk,,Arts
36,Nancie,Wylie,24,nwyliez@unc.edu,505-844-7504,81 Vernon Hill,Monamon,,Engineering
37,Neil,Ebbs,23,nebbs10@dyndns.org,423-426-5221,836 Arizona Avenue,Monze,,Business
38,Torie,Tine,20,ttine11@umich.edu,110-470-4170,0964 Larry Way,Kon Tum,,Business
39,Erda,Atcock,19,eatcock12@tinypic.com,517-454-2541,423 Dexter Trail,Lekas,,Business
40,Stacee,Giacomuzzo,18,sgiacomuzzo13@kickstarter.com,991-916-2047,2 Sherman Way,Qianguo,,Business
41,Cale,Skyppe,18,cskyppe14@un.org,440-631-5089,23 John Wall Circle,Cầu Gồ,,Engineering
42,Tadeo,Borgnet,23,tborgnet15@ow.ly,372-455-4082,214 Vernon Center,Xilin,,Science
43,Dixie,Comettoi,20,dcomettoi16@phoca.cz,169-491-8797,127 Elmside Trail,Shalkar,,Medicine
